source,text,sentiment,score
media,Menteri Keuangan Purbaya Yudhi Sadewa buka suara mengenai nilai tukar rupiah yang melemah terhadap dolar Amerika Serikat (AS),neutral,0.9973
media,"Berdasarkan data Bloomberg , dolar AS menguat 77 poin atau 0,43% hingga mencapai level Rp 18",neutral,0.9916
media,"Purbaya mengatakan, pengelolaan stabilitas nilai tukar merupakan kewenangan Bank Indonesia (BI)",neutral,0.9928
media,"Saat ditanya apakah perlu menggelar rapat Komite Stabilitas Sistem Keuangan (KSSK) menyusul pelemahan rupiah, Purbaya mengaku belum melihat kondisi yang mengharuskan langkah tersebut dilakukan",neutral,0.9425
media,"""Nanti Anda ngelihat saya panik",negative,0.8239
media,Pada dasarnya BI masih menjalankan kegiatan dengan baik dan semuanya masih di bawah kendali mereka,positive,0.9412
media,"Saya serahkan rupiah ke mereka,"" kata Purbaya di Kompleks DPR RI, Jakarta, Kamis (4/6/2026)",neutral,0.9213
media,"SCROLL TO CONTINUE WITH CONTENT Meski demikian, ia mengakui pelemahan rupiah dapat meningkatkan beban pembayaran utang luar negeri dalam mata uang rupiah",neutral,0.8717
media,"Sebab, meskipun kupon atau bunga utang dalam dolar AS tetap, jumlah rupiah yang harus disiapkan untuk membayarnya akan lebih besar ketika kurs melemah",neutral,0.744
media,"""Harusnya sih fix kuponnya, tapi kan kalau dia jual di pembayaran utang kan lewat kupon",negative,0.562
media,Kuponnya sih konstan,positive,0.9496
media,"Cuma, pada waktu rupiah melemah ya ikut meningkat kan dalam rupiah pembayarannya,"" ujar Purbaya",neutral,0.9466
media,"Menurutnya, kondisi tersebut masih berada dalam rentang simulasi yang sebelumnya telah diperhitungkan pemerintah",neutral,0.9602
media,"Oleh karena itu, ia memastikan Anggaran Pendapatan dan Belanja Negara (APBN) tidak terdampak dan masih aman",neutral,0.695
media,"Purbaya menjelaskan, saat penyusunan APBN, pemerintah menggunakan asumsi dolar AS Rp 16",neutral,0.9939
media,"500, namun juga melakukan berbagai simulasi terhadap kemungkinan perubahan kondisi ekonomi, termasuk pelemahan rupiah dan kenaikan harga energi",neutral,0.992
media,"""Kan gini, pada waktu APBN pertama kan ada asumsinya berapa",neutral,0.6478
media,T api kan terus ada simulasi pada waktu harga BBM naik tinggi kan,neutral,0.8846
media,"Ya, kita hitung di situ",negative,0.5075
media,"Adjustment -nya cukup tinggi, tapi kan saya nggak sebutkan kan nanti rupiah melemah signifikan, tapi basically , fundamental rupiah berada di bawah level yang sekarang, lebih kuat dari yang sekarang,"" beber Purbaya",neutral,0.506
media,Ia kemudian mengungkapkan pemerintah melakukan intervensi di pasar surat utang negara untuk membantu menjaga stabilitas pasar keuangan,neutral,0.9967
media,"Menurutnya, intervensi yang dilakukan mencapai lebih dari Rp 8 triliun di pasar obligasi",neutral,0.9266
media,"""Mungkin Rp 8 triliun lebih yang di obligasi ya, tapi itu yang boleh diomongin , ya",neutral,0.8795
media,"Nggak apa-apa, biar Anda tahu, saya intervensi sedikit",negative,0.91
media,Terus 10 tahun kan relatif stabil atau cenderung turun,positive,0.4502
media,"Jadi, dampaknya ada ke surat utang kita,"" tutup Purbaya",neutral,0.9675
media,"Tonton juga video ""Rupiah Ambyar",neutral,0.964
media,Dolar AS Sempat Tembus Rp 18,neutral,0.9874
instagram,kaaaaa cauuuu mania,negative,0.6405
instagram,hati hati guys banyak buzzer dari mafia mafia yg terganggu yg komen,negative,0.998
instagram,buset enak banget ngomongnya saya serahkan ke mereka ,positive,0.981
instagram,pada dasarnya terus yang baik pak??? hasilnya lihat ga tuh gmna???? ada yang salah itu woiii dalam kinerja pemerintahan prabowo.. jangan denial lh,negative,0.9717
instagram,banyak sekali buzzer buzzer mafia yg komen,negative,0.9312
instagram,di bawa kendali?????? ,negative,0.9641
instagram,belom smpet ketemu?lu kalo tau jalan keluar nya tinggal telp aja bos..,neutral,0.5664
instagram,mundur aja pur .. biar di pegang keluarganya prabowo menku nya ,neutral,0.5145
instagram,"mundur aja pak lebih baik, pusing saya dnger komentar bapak yg ngles terus",negative,0.9949
instagram,my 3 topnotch websites to practice english,neutral,0.8064
instagram,"artinya investasi asing itu bukan sekedar masalah tanam duit dapet untung dll, tapi sebagai alat perang memerangi suatu negara karena kebijakan pemerintah yg gak nurut maunya para konglomerat asing.",negative,0.9932
instagram,efek terlalu banyak titip menitip,negative,0.9951
instagram,tp org desa gak pakai dollar kok skrg panik?,negative,0.9928
instagram,aroma bakal diganti si pur nih ,neutral,0.7442
instagram,hmmm ingat beli beras  orang di desa tidak pakai dolar guyss... wkkkkkk bobo aghh pusingg,negative,0.7176
instagram,"narikin pajak abis²an lu org udh, karma ye? mknya jgn dzolim",negative,0.984
instagram,kasi mimpi terus,negative,0.8056
instagram,"serahkan rp ke kejaksaan, mereka yg membuat investors hengkang, cb google masuk kursi pesakitan, hancur 22,000",negative,0.9731
instagram,"pas lihat akun yg koment, pengikut nya 0 ",neutral,0.6704
instagram,masih nunggu dia memperbaiki rupiah dalam satu malem,negative,0.8138
instagram,"langsung aja pak, tunjuk kambing hitamnya....",negative,0.8739
instagram,ekonomi rapuh ekonomi bingung,negative,0.8224
instagram,fiskalnya amburadul...pur kebanyaken ngecepek...ngelantur bisa ini bisa itu hasil...zhonk,negative,0.9992
instagram,apa mungkin biar genap sampai 20rb? ,negative,0.8654
instagram,yuk bisa yuk 1 usd rp 1jt,neutral,0.9717
instagram,gubernur bi itu ponakan nya si wowo yg sangat tidak berkompeten itu,negative,0.9991
instagram,"mundur aja, mending balik jadi trader aja ",negative,0.9903
instagram,manuisa omon omon,negative,0.5004
instagram,"rudo made it, cosko  golden brown best part slowed",positive,0.9077
instagram,"panik sih,engga... stress? iya...",negative,0.9804
instagram,ya emng dari awal kan emng urusan bi anjirr bukan urusan diaa cuman bi ga becus kerjanya  yagasi? cmiiw,negative,0.9987
instagram,bapak ga panik ini buibuk panik pak apa2 naik boro2 bisa beli skincare ini mah,positive,0.6319
instagram,3129 disuruh tidur,neutral,0.6502
instagram,"gabetul lagi lah kalo gini terus pak. ke negeri jiran ajalah kabur, di sana sekalian bhs eng karna di sana lumayan jg bhs eng dan mandarinnya, terus klo mau upgrade lagi dan eng sdh memadai move ke mata pencahariannya yg dollar ",negative,0.9634
instagram,ujung2nya juga di serahkan ke masyarakat,negative,0.6479
instagram,"asal bunyi kadang beliau kl ngomong, kayak peramal kadang bener kadang salah ",negative,0.9061
instagram,harusnya presiden membuat tim secepatnya utk menurunkan nilai tukar apa saja tindakannya,negative,0.6148
